Date,Open,High,Low,Close,Adj Close,Volume
2015-12-02,126.809998,127.050003,125.470001,125.739998,111.869537,252600
2015-12-03,126.629997,126.650002,124.529999,124.720001,110.962059,601400
2015-12-04,124.580002,125.900002,124.580002,125.900002,112.011887,279900
2015-12-07,125.489998,125.599998,124.510002,125.150002,111.344627,161000
2015-12-08,123.099998,123.099998,121.959999,122.519997,109.004745,516000
2015-12-09,124.099998,124.730003,123.050003,123.900002,110.232513,340900
2015-12-10,125.000000,125.400002,124.599998,124.889999,111.113304,255600
2015-12-11,124.040001,124.220001,122.910004,123.669998,110.027885,463000
2015-12-14,123.589996,123.879997,121.669998,122.500000,108.986946,402200
2015-12-15,122.570000,122.970001,122.120003,122.169998,108.693352,245200
2015-12-16,125.059998,126.889999,124.849998,126.660004,112.688057,493100
2015-12-17,126.349998,126.629997,124.709999,124.800003,111.033241,352800
2015-12-18,124.830002,125.000000,123.949997,124.389999,110.668457,359000
2015-12-21,124.750000,125.389999,123.650002,124.650002,110.899780,274100
2015-12-22,125.480003,126.000000,124.800003,125.580002,111.727188,332800
2015-12-23,126.660004,127.279999,126.230003,127.150002,113.123993,298400
2015-12-24,125.400002,126.110001,125.400002,125.769997,111.896225,102300
2015-12-28,124.430000,124.849998,124.230003,124.470001,110.739639,283800
2015-12-29,124.089996,125.080002,124.089996,124.760002,110.997643,160400
2015-12-30,124.400002,124.430000,123.110001,123.220001,109.627518,334100
2015-12-31,123.349998,124.330002,122.650002,123.040001,109.467384,221000
2016-01-04,121.519997,122.260002,120.169998,121.459999,108.061668,413500
2016-01-05,121.540001,121.540001,120.160004,121.139999,107.776970,306400
2016-01-06,118.570000,118.800003,117.760002,118.379997,105.321419,277600
2016-01-07,116.080002,116.639999,115.459999,115.570000,102.821404,407500
2016-01-08,116.320000,116.680000,112.919998,113.059998,100.588264,635800
2016-01-11,114.260002,114.879997,113.459999,114.809998,102.145226,501400
2016-01-12,116.650002,116.720001,114.470001,115.830002,103.052727,341200
2016-01-13,117.199997,117.360001,114.540001,114.989998,102.305389,345800
2016-01-14,115.370003,116.629997,114.209999,116.290001,103.461983,354100
2016-01-15,114.059998,114.169998,111.889999,112.599998,100.179024,637000
2016-01-19,116.010002,116.099998,113.870003,115.019997,102.332077,485500
2016-01-20,112.300003,112.430000,108.940002,111.510002,99.209267,1000200
2016-01-21,110.360001,112.050003,109.470001,111.099998,98.844482,285300
2016-01-22,115.110001,116.040001,114.820000,115.949997,103.159485,595500
2016-01-25,114.370003,114.589996,113.209999,113.410004,100.899673,248600
2016-01-26,113.300003,114.379997,113.180000,114.349998,101.735985,267500
2016-01-27,116.000000,117.089996,114.800003,115.320000,102.598976,320900
2016-01-28,116.680000,116.680000,114.930000,116.120003,103.310745,313700
2016-01-29,118.750000,120.029999,118.010002,120.029999,106.789413,746000
2016-02-01,120.000000,120.769997,119.160004,120.400002,107.118599,416700
2016-02-02,120.150002,120.150002,118.500000,119.000000,105.873032,353400
2016-02-03,116.480003,116.750000,113.389999,114.989998,102.305389,622600
2016-02-04,114.989998,114.989998,112.730003,114.290001,101.682594,559600
2016-02-05,112.239998,112.519997,109.000000,110.389999,98.212807,851100
2016-02-08,109.739998,109.809998,107.970001,109.129997,97.091797,687700
2016-02-09,105.989998,107.570000,105.580002,106.839996,95.054405,497500
2016-02-10,108.620003,109.470001,106.639999,106.769997,94.992134,414100
2016-02-11,105.290001,105.779999,104.169998,105.080002,93.488571,545900
2016-02-12,103.169998,105.370003,102.540001,105.260002,93.648697,668300
2016-02-16,108.050003,108.589996,107.449997,108.209999,96.273277,476700
2016-02-17,107.690002,108.449997,107.599998,108.129997,96.202110,696500
2016-02-18,108.580002,108.949997,107.220001,107.449997,95.597122,224700
2016-02-19,105.680000,105.849998,104.800003,105.309998,93.693184,723200
2016-02-22,106.070000,106.900002,106.059998,106.690002,94.920944,297400
2016-02-23,106.550003,106.669998,105.529999,105.620003,93.968994,161700
2016-02-24,105.070000,105.220001,102.849998,104.589996,93.052605,628600
2016-02-25,104.589996,105.589996,104.459999,105.570000,93.924507,828900
2016-02-26,105.000000,106.080002,104.629997,105.139999,93.541939,492600
2016-02-29,105.099998,105.279999,104.099998,104.099998,92.616661,423600
2016-03-01,105.300003,106.650002,104.889999,106.410004,94.671837,344700
2016-03-02,106.849998,107.300003,106.519997,106.989998,95.187859,275700
2016-03-03,107.690002,108.570000,107.639999,108.570000,96.593567,289300
2016-03-04,109.559998,110.290001,109.000000,109.550003,97.465477,204700
2016-03-07,107.230003,108.550003,107.070000,107.910004,96.006378,745300
2016-03-08,106.519997,106.699997,105.620003,105.820000,94.146919,459500
2016-03-09,106.860001,106.910004,105.800003,106.250000,94.529503,201900
2016-03-10,108.760002,108.980003,106.160004,107.080002,95.267937,607300
2016-03-11,108.660004,109.279999,108.540001,109.260002,97.207466,216700
2016-03-14,109.250000,109.489998,108.809998,108.949997,96.931656,251500
